"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"MSI",0,"Medium",4,853,408
"HP",4,"Large",3,850,495
"MSI",2,"Small",3,1219,483
"MSI",2,"Large",0,1072,935
"MSI",1,"Medium",3,640,408
"HP",0,"Medium",4,1170,477
"MSI",1,"Medium",2,971,689
"MSI",0,"Large",0,1137,903
"MSI",3,"Medium",2,881,609
"MSI",5,"Medium",2,1102,671
"HP",2,"Small",0,915,752
"MSI",2,"Large",5,1258,491
"HP",1,"Large",3,930,524
"HP",1,"Small",2,736,471
"HP",2,"Medium",2,566,452
"HP",1,"Large",2,1261,693
"HP",2,"Medium",0,763,756
"HP",2,"Large",2,1093,723
"HP",0,"Large",3,843,531
"MSI",3,"Large",2,567,559
"HP",2,"Large",3,1084,583
"HP",3,"Medium",0,1160,868
"HP",0,"Large",2,659,581
"Apple",1,"Medium",1,1010,819
"HP",3,"Medium",1,1086,731
"HP",1,"Large",3,870,491
"HP",1,"Large",1,1127,829
"HP",1,"Small",4,869,245
"HP",2,"Small",1,1035,630
"MSI",3,"Small",2,1080,542
"MSI",2,"Large",1,627,713
"HP",2,"Medium",1,1189,756
"MSI",1,"Large",2,1088,720
"MSI",2,"Large",1,850,717
"HP",3,"Small",2,1134,541
"MSI",3,"Large",0,1046,920
"HP",1,"Large",2,763,556
"HP",2,"Large",2,854,591
"HP",0,"Medium",4,1175,436
"HP",1,"Large",4,971,363
"HP",2,"Medium",0,977,792
"HP",2,"Small",1,985,622
"HP",4,"Large",1,1118,792
"HP",2,"Small",2,839,455
"HP",2,"Medium",2,1259,600
"MSI",2,"Medium",3,1256,620
"HP",0,"Large",1,1267,823
"HP",2,"Small",1,1088,649
"Apple",6,"Medium",6,817,228
"HP",1,"Small",2,980,515
"MSI",5,"Medium",1,1077,782
"HP",3,"Medium",0,1280,860
"MSI",3,"Medium",1,957,704
"HP",2,"Medium",2,1268,711
"HP",1,"Medium",2,1032,637
"MSI",2,"Small",2,1094,547
"MSI",2,"Medium",1,844,745
"MSI",0,"Medium",3,1089,575
"HP",0,"Small",2,976,473
"MSI",1,"Medium",3,967,544
"MSI",4,"Large",2,1177,731
"MSI",3,"Large",1,1143,842
"HP",2,"Small",0,1170,754
"HP",5,"Medium",0,461,658
"Apple",2,"Large",3,1148,662
"HP",4,"Large",3,1014,603
"MSI",1,"Medium",2,1182,674
"HP",3,"Small",3,1124,432
"HP",3,"Medium",2,1292,657
"HP",4,"Medium",1,810,672
"Apple",3,"Large",1,1350,945
"HP",2,"Medium",0,1100,820
"HP",1,"Large",4,801,366
"HP",3,"Large",2,1124,678
"HP",4,"Medium",1,1088,709
"HP",1,"Small",2,990,511
"HP",3,"Small",1,890,508
"HP",6,"Large",2,1084,670
"HP",4,"Medium",2,766,561
"MSI",1,"Medium",2,1000,702
"MSI",1,"Medium",2,998,634
"HP",2,"Large",1,867,697
"MSI",0,"Medium",2,1208,745
"MSI",5,"Medium",1,1121,763
"MSI",2,"Medium",2,1050,676
"MSI",0,"Medium",2,1283,694
"HP",3,"Medium",2,899,554
"HP",1,"Large",2,601,575
"MSI",0,"Small",2,944,576
"HP",2,"Medium",1,979,693
"HP",1,"Medium",2,1364,731
"HP",2,"Medium",4,1154,440
"Apple",0,"Large",2,1154,763
"MSI",0,"Medium",2,967,626
"HP",3,"Medium",4,811,345
"Apple",0,"Medium",1,1072,825
"MSI",2,"Large",1,980,822
"HP",3,"Medium",1,942,717
"HP",4,"Small",3,1132,476
"MSI",2,"Large",1,1184,840
"MSI",1,"Small",5,1011,250
"MSI",6,"Large",4,1678,678
"HP",1,"Medium",5,1210,342
"HP",1,"Large",2,1061,673
"HP",3,"Medium",3,910,498
"MSI",0,"Small",2,1116,554
"HP",2,"Medium",1,1040,680
"HP",3,"Medium",3,831,393
"HP",1,"Large",3,736,521
"MSI",3,"Medium",7,991,137
"MSI",2,"Medium",1,977,767
"HP",2,"Medium",2,1380,747
"Apple",2,"Medium",1,1124,857
"MSI",0,"Large",1,596,665
"MSI",1,"Medium",0,662,762
"MSI",2,"Small",3,1299,509
"HP",3,"Medium",3,1037,474
"MSI",1,"Large",1,1053,810
"HP",0,"Medium",2,702,481
"HP",1,"Medium",2,911,601
"MSI",3,"Medium",3,1102,612
"HP",0,"Medium",2,1187,669
"MSI",0,"Small",1,978,582
"HP",4,"Medium",3,1132,516
"HP",2,"Large",3,1033,575
"HP",1,"Large",2,1222,758
"MSI",0,"Large",2,933,686
"HP",1,"Medium",1,1208,822
"MSI",3,"Medium",6,883,178
"HP",3,"Medium",2,807,536
"Apple",2,"Medium",3,1288,646
"HP",1,"Medium",3,827,458
"MSI",3,"Medium",1,1259,834
"HP",2,"Medium",2,1112,629
"HP",4,"Medium",4,635,318
"MSI",0,"Large",2,1058,751
"HP",1,"Medium",2,999,605
"MSI",1,"Medium",1,1075,773
"MSI",1,"Medium",3,1087,572
"HP",2,"Large",0,802,786
"HP",3,"Small",1,972,577
"HP",3,"Medium",1,779,591
"MSI",1,"Medium",2,1183,696
"HP",2,"Medium",1,1146,804
"MSI",2,"Large",1,947,783
"Apple",2,"Large",2,875,747
"HP",3,"Large",0,933,830
"MSI",4,"Medium",3,929,531
"Apple",2,"Large",2,937,730
"MSI",1,"Medium",6,1059,221
"HP",0,"Medium",3,1121,545
"Apple",3,"Large",4,1281,674
"MSI",1,"Medium",1,1074,731
"HP",3,"Large",1,1046,721
"HP",3,"Large",1,938,756
"HP",2,"Large",1,970,780
"HP",1,"Medium",3,1115,549
"HP",2,"Small",1,1179,662
"HP",2,"Medium",2,1153,633
"HP",2,"Medium",2,835,526
"MSI",6,"Medium",3,916,518
"HP",1,"Large",3,962,581
"HP",2,"Medium",2,1059,656
"Apple",2,"Medium",2,1401,820
"HP",2,"Large",3,969,554
"HP",1,"Medium",2,601,471
"HP",3,"Large",3,1171,539
"HP",2,"Medium",2,1253,682
"HP",0,"Medium",0,737,719
"MSI",2,"Large",1,1174,853
"MSI",1,"Medium",1,1094,812
"HP",0,"Medium",1,599,583
"MSI",1,"Large",2,683,640
"Apple",3,"Medium",3,655,530
"MSI",2,"Large",2,1232,738
"MSI",1,"Medium",3,1280,616
"MSI",3,"Medium",2,804,625
"HP",0,"Small",1,885,532
"HP",2,"Large",0,781,746
"HP",1,"Large",1,813,680
"HP",0,"Medium",4,1239,436
"HP",1,"Large",2,795,597
"MSI",0,"Large",2,1203,727
"HP",1,"Medium",1,870,687
"HP",3,"Medium",2,1122,635
"HP",0,"Large",2,895,608
"Apple",3,"Large",3,713,608
"MSI",4,"Large",2,1137,772
"MSI",1,"Small",3,1143,503
"Apple",1,"Medium",4,803,515
"MSI",1,"Medium",2,1037,677
"HP",1,"Large",3,1204,620
"MSI",0,"Medium",1,1061,722
"HP",5,"Medium",1,1170,741
"MSI",1,"Medium",2,939,558
"MSI",2,"Small",4,1225,417
"HP",0,"Medium",1,701,627
"HP",3,"Medium",6,785,175
"Apple",3,"Medium",0,1316,968
"HP",2,"Large",2,1046,654
"HP",0,"Medium",2,1285,681
"HP",1,"Medium",2,900,611
"HP",1,"Large",1,902,756
"HP",0,"Medium",2,565,458
"Apple",0,"Small",0,682,707
"MSI",2,"Large",0,1061,910
"HP",1,"Large",1,778,711
"HP",2,"Medium",3,1264,587
"MSI",2,"Large",2,968,675
"HP",2,"Medium",2,662,527
"MSI",4,"Medium",4,1070,503
"HP",0,"Large",0,1034,852
"MSI",4,"Large",1,1085,766
"HP",0,"Small",4,1056,318
"HP",1,"Medium",3,936,461
"MSI",2,"Medium",4,914,474
"HP",3,"Large",3,998,581
"Apple",1,"Small",3,490,381
"HP",0,"Medium",3,1191,584
"HP",4,"Medium",1,1131,758
"MSI",3,"Large",2,1132,783
"HP",2,"Large",4,779,397
"HP",3,"Large",2,1093,683
"HP",4,"Medium",4,1356,509
"HP",2,"Large",0,1054,832
"HP",0,"Medium",3,861,405
"HP",2,"Medium",2,696,535
"MSI",3,"Large",1,1260,912
"Apple",4,"Small",2,1157,642
"MSI",0,"Medium",0,1068,883
"MSI",0,"Large",4,736,398
"MSI",2,"Large",0,967,903
"HP",0,"Medium",1,874,668
"HP",1,"Large",4,959,408
"HP",1,"Large",1,1152,827
"Apple",4,"Large",2,767,669
"HP",1,"Medium",5,947,299
"HP",2,"Medium",1,650,615
"MSI",2,"Small",2,1088,567
"HP",2,"Large",5,756,288
"MSI",0,"Small",1,974,661
"MSI",4,"Large",1,1084,779
"Apple",3,"Large",2,887,738
"MSI",4,"Small",1,872,578
"MSI",2,"Medium",1,1275,808
"MSI",6,"Large",2,842,721
"Apple",2,"Medium",1,1439,894
"Apple",0,"Medium",2,1065,723
"MSI",0,"Large",4,525,361
"HP",1,"Small",1,1022,560
"HP",2,"Large",2,742,586
"HP",3,"Large",2,660,518
"HP",1,"Small",3,1032,358
"HP",3,"Large",2,859,633
"HP",0,"Medium",2,1485,760
"HP",2,"Medium",2,537,433
"Apple",1,"Small",0,848,740
"HP",4,"Large",0,713,863
"Apple",2,"Medium",0,1245,932
"MSI",2,"Small",3,795,366
"MSI",1,"Large",5,1161,432
"HP",2,"Medium",1,716,598
"MSI",4,"Medium",0,1331,996
"HP",3,"Medium",0,1279,906
"MSI",0,"Medium",4,795,384
"MSI",1,"Medium",5,560,222
"MSI",3,"Large",4,1092,535
"MSI",2,"Large",2,644,579
"HP",1,"Large",2,996,622
"HP",1,"Medium",2,1443,725
"Apple",3,"Medium",1,801,747
"MSI",2,"Large",2,1181,777
"HP",3,"Large",1,1165,752
"MSI",4,"Medium",4,1082,421
"HP",2,"Large",1,1084,834
"Apple",2,"Medium",4,1126,570
"HP",1,"Medium",5,826,242
"HP",3,"Medium",1,982,693
"HP",1,"Small",0,839,626
"MSI",1,"Medium",2,1046,707
"MSI",3,"Medium",3,1060,581
"Apple",1,"Medium",3,720,498
"MSI",2,"Large",1,1143,812
"MSI",1,"Small",3,1033,440
"MSI",1,"Medium",4,861,397
"MSI",3,"Medium",5,944,309
"MSI",2,"Large",2,1000,658
"MSI",1,"Large",1,652,676
"MSI",3,"Large",1,1316,934
