"books_sold","weeks_best_seller","n_books_published","genre","page_numbers","publication_year"
1278,3,3,"Science Fiction",490,22
1624,4,2,"Mystery",347,11
1449,6,6,"Science Fiction",618,15
1781,4,4,"Science Fiction",320,9
1772,4,5,"Mystery",350,10
1437,4,4,"Science Fiction",204,16
1788,5,2,"Romance",322,8
2022,6,4,"Romance",345,6
1816,6,3,"Romance",234,9
1796,6,1,"Mystery",415,9
1901,7,2,"Romance",284,8
1495,3,3,"Romance",440,13
2206,8,1,"Mystery",228,5
1804,4,2,"Mystery",339,9
1801,6,1,"Romance",232,9
1831,6,3,"Science Fiction",524,9
2030,8,1,"Science Fiction",364,6
1654,4,2,"Science Fiction",367,12
1688,4,3,"Science Fiction",408,8
1874,6,5,"Mystery",365,7
1654,4,0,"Science Fiction",400,11
1954,5,5,"Science Fiction",315,6
1705,4,4,"Science Fiction",438,8
1516,4,3,"Mystery",234,14
1776,5,2,"Science Fiction",413,8
1818,5,2,"Science Fiction",386,8
1705,4,2,"Romance",217,10
1706,4,6,"Science Fiction",246,10
1899,5,4,"Mystery",290,7
1811,5,5,"Romance",338,9
1512,4,4,"Mystery",282,12
1670,4,1,"Science Fiction",381,10
1555,5,4,"Romance",206,13
1805,4,3,"Science Fiction",310,10
1765,5,0,"Mystery",378,7
1700,5,4,"Romance",272,11
1829,3,1,"Science Fiction",304,8
1538,3,3,"Science Fiction",361,12
1604,4,2,"Science Fiction",272,10
1591,3,2,"Science Fiction",429,12
1666,3,1,"Science Fiction",455,11
1674,3,2,"Science Fiction",347,10
1793,6,2,"Science Fiction",436,10
1531,3,2,"Romance",241,13
1499,4,4,"Science Fiction",142,13
1705,5,0,"Science Fiction",401,11
1671,4,2,"Science Fiction",329,11
989,2,2,"Science Fiction",146,44
1824,5,0,"Science Fiction",281,9
1941,6,0,"Science Fiction",347,9
1601,3,1,"Science Fiction",265,11
1621,4,2,"Mystery",244,11
1694,3,2,"Science Fiction",412,11
1454,2,1,"Romance",334,16
1784,3,1,"Mystery",358,10
1528,4,6,"Science Fiction",512,14
1689,5,6,"Science Fiction",434,11
1648,2,4,"Science Fiction",305,12
1628,3,5,"Science Fiction",429,12
1790,6,1,"Science Fiction",430,8
2192,8,5,"Science Fiction",321,6
1518,2,2,"Science Fiction",452,12
2144,6,4,"Romance",412,7
1548,3,5,"Science Fiction",290,13
1494,5,2,"Science Fiction",512,12
1913,6,0,"Mystery",415,8
1624,3,2,"Mystery",267,11
1815,5,6,"Science Fiction",362,9
1893,7,1,"Romance",414,8
1930,6,1,"Mystery",348,7
1878,6,2,"Mystery",400,6
1662,3,2,"Science Fiction",281,11
2057,7,2,"Science Fiction",406,7
1600,3,1,"Science Fiction",215,12
1240,4,4,"Science Fiction",588,22
1620,3,4,"Mystery",350,13
1661,4,1,"Mystery",272,11
1944,6,5,"Mystery",357,8
1907,4,3,"Mystery",364,9
1768,5,2,"Science Fiction",214,9
1474,3,4,"Mystery",469,16
1158,4,2,"Science Fiction",99,28
1390,1,6,"Science Fiction",313,18
1439,6,4,"Science Fiction",547,17
1980,7,3,"Mystery",294,8
1800,7,1,"Mystery",211,9
1314,1,3,"Science Fiction",334,21
1924,5,3,"Science Fiction",302,6
1586,5,3,"Romance",189,11
2072,7,3,"Mystery",347,7
1957,7,5,"Mystery",371,8
1651,4,4,"Romance",379,11
1646,3,3,"Mystery",199,11
1566,2,7,"Science Fiction",383,15
1596,4,0,"Mystery",402,12
1995,7,3,"Mystery",437,6
1905,4,1,"Romance",405,9
1691,3,0,"Mystery",344,8
1701,6,2,"Mystery",494,10
1333,3,4,"Mystery",197,20
1895,4,2,"Science Fiction",375,8
1764,5,2,"Science Fiction",378,9
1498,4,4,"Mystery",409,15
1621,3,5,"Science Fiction",342,12
1726,5,4,"Science Fiction",299,12
1744,5,2,"Science Fiction",461,10
1794,4,2,"Science Fiction",331,9
1287,4,2,"Mystery",517,21
1841,6,1,"Science Fiction",274,10
1523,4,1,"Science Fiction",198,14
1542,3,2,"Mystery",231,13
1813,6,5,"Science Fiction",432,9
1653,4,4,"Mystery",439,10
1540,3,1,"Science Fiction",440,14
1457,4,5,"Science Fiction",505,15
1681,5,3,"Mystery",371,12
1403,3,2,"Science Fiction",204,17
2021,7,2,"Science Fiction",334,6
1476,3,3,"Mystery",277,15
1655,6,3,"Mystery",519,12
1580,4,3,"Science Fiction",306,11
1693,2,4,"Science Fiction",356,10
1626,4,4,"Science Fiction",449,12
1825,5,0,"Science Fiction",425,8
1496,3,3,"Mystery",457,13
1509,2,5,"Mystery",371,15
1557,4,2,"Mystery",209,13
1779,4,2,"Romance",230,8
1790,5,4,"Science Fiction",403,9
1702,4,2,"Science Fiction",538,8
1665,5,1,"Science Fiction",211,11
1389,4,1,"Mystery",177,18
1497,3,6,"Mystery",412,12
1722,5,1,"Mystery",341,9
1828,6,9,"Science Fiction",320,8
1491,3,2,"Mystery",334,15
1410,2,2,"Mystery",465,17
1828,5,3,"Romance",447,8
1535,3,1,"Romance",457,13
1429,4,5,"Science Fiction",545,16
1727,5,1,"Mystery",268,10
1511,2,3,"Mystery",287,14
2048,6,1,"Romance",391,7
1660,3,2,"Science Fiction",265,11
1698,6,2,"Science Fiction",434,10
2004,6,1,"Science Fiction",451,7
1853,5,2,"Science Fiction",347,7
2068,7,4,"Mystery",366,6
1846,5,4,"Mystery",262,9
1263,3,7,"Romance",181,22
1841,4,2,"Mystery",403,9
1773,7,5,"Science Fiction",188,9
1752,4,5,"Romance",330,10
1302,4,1,"Mystery",499,19
1666,5,1,"Science Fiction",322,11
1858,5,4,"Science Fiction",427,7
1245,2,6,"Mystery",193,21
1591,7,4,"Science Fiction",164,13
1040,4,1,"Mystery",69,38
1645,5,3,"Science Fiction",444,12
1908,6,3,"Mystery",323,8
1763,4,5,"Mystery",267,8
1597,4,1,"Science Fiction",388,12
1713,5,3,"Science Fiction",309,8
2228,8,4,"Science Fiction",424,5
1571,5,0,"Science Fiction",154,12
1680,4,3,"Science Fiction",441,10
1533,3,4,"Romance",424,12
1535,3,1,"Science Fiction",342,12
1767,5,3,"Science Fiction",260,11
1456,4,3,"Mystery",432,15
1871,5,2,"Science Fiction",350,8
1542,3,5,"Mystery",388,13
1615,3,2,"Romance",321,10
1859,5,5,"Science Fiction",330,10
1733,4,2,"Mystery",397,8
1325,1,5,"Mystery",389,20
2128,7,3,"Mystery",341,7
1327,5,3,"Romance",587,20
1617,3,7,"Science Fiction",328,12
1644,5,3,"Science Fiction",263,12
2124,6,5,"Romance",282,5
1723,5,2,"Science Fiction",289,11
1667,5,3,"Science Fiction",156,10
1616,4,4,"Mystery",246,10
1649,2,0,"Mystery",390,12
1779,5,5,"Science Fiction",414,10
1710,4,5,"Mystery",436,9
1447,4,3,"Mystery",502,15
1556,2,3,"Mystery",406,13
1900,6,2,"Science Fiction",218,7
1618,3,4,"Mystery",342,12
1637,4,3,"Mystery",236,12
1387,4,3,"Romance",156,17
1659,5,4,"Mystery",359,10
1198,4,5,"Mystery",125,24
1388,4,1,"Mystery",240,16
1568,7,3,"Science Fiction",582,13
